ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
LEGACYSQL2012,TEAM18_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
LEGACYSQL2012,TEAM19_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM19_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM19_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM19_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
LEGACYSQL2012,TEAM20_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM20_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM20_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM20_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
LEGACYSQL2012,TEAM02_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM02_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM02_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM02_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM03_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM03_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM03_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM03_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM04_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM04_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM04_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM04_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM05_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM05_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM05_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM05_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM06_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM06_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM06_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM06_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM07_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM07_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM07_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM07_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM08_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM08_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM08_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM08_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM09_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM09_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM09_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM09_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM10_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM10_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM10_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM10_SharedMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
